순위,지역,년도,성별,이름,비율,건수
1,서울특별시,2011,남성,지호,지호(8.57%),3
1,서울특별시,2011,남성,현우,현우(8.57%),3
3,서울특별시,2011,남성,건호,건호(5.71%),2
3,서울특별시,2011,남성,도원,도원(5.71%),2
3,서울특별시,2011,남성,도윤,도윤(5.71%),2
3,서울특별시,2011,남성,민규,민규(5.71%),2
3,서울특별시,2011,남성,윤호,윤호(5.71%),2
3,서울특별시,2011,남성,재현,재현(5.71%),2
3,서울특별시,2011,남성,준성,준성(5.71%),2
3,서울특별시,2011,남성,지민,지민(5.71%),2
3,서울특별시,2011,남성,진우,진우(5.71%),2
3,서울특별시,2011,남성,태영,태영(5.71%),2
3,서울특별시,2011,남성,현수,현수(5.71%),2
14,서울특별시,2011,남성,동문,동문(2.86%),1
14,서울특별시,2011,남성,병민,병민(2.86%),1
14,서울특별시,2011,남성,성찬,성찬(2.86%),1
14,서울특별시,2011,남성,수현,수현(2.86%),1
14,서울특별시,2011,남성,연준,연준(2.86%),1
14,서울특별시,2011,남성,재운,재운(2.86%),1
14,서울특별시,2011,남성,찬영,찬영(2.86%),1
15,서울특별시,2011,남성,기타,기타(74.64%),103
1,부산광역시,2011,남성,태규,태규(11.11%),3
2,부산광역시,2011,남성,민규,민규(7.41%),2
2,부산광역시,2011,남성,성진,성진(7.41%),2
2,부산광역시,2011,남성,승현,승현(7.41%),2
2,부산광역시,2011,남성,재영,재영(7.41%),2
2,부산광역시,2011,남성,정민,정민(7.41%),2
7,부산광역시,2011,남성,김,김(3.70%),1
7,부산광역시,2011,남성,명채,명채(3.70%),1
7,부산광역시,2011,남성,상우,상우(3.70%),1
7,부산광역시,2011,남성,성민,성민(3.70%),1
7,부산광역시,2011,남성,승우,승우(3.70%),1
7,부산광역시,2011,남성,연우,연우(3.70%),1
7,부산광역시,2011,남성,영환,영환(3.70%),1
7,부산광역시,2011,남성,오정환,오정환(3.70%),1
7,부산광역시,2011,남성,운호,운호(3.70%),1
7,부산광역시,2011,남성,이승헌,이승헌(3.70%),1
7,부산광역시,2011,남성,점량,점량(3.70%),1
7,부산광역시,2011,남성,지운,지운(3.70%),1
7,부산광역시,2011,남성,현근,현근(3.70%),1
7,부산광역시,2011,남성,희승,희승(3.70%),1
8,부산광역시,2011,남성,기타,기타(72.16%),70
1,대구광역시,2011,남성,재훈,재훈(13.64%),3
2,대구광역시,2011,남성,근형,근형(4.55%),1
2,대구광역시,2011,남성,도겸,도겸(4.55%),1
2,대구광역시,2011,남성,동현,동현(4.55%),1
2,대구광역시,2011,남성,민관,민관(4.55%),1
2,대구광역시,2011,남성,민석,민석(4.55%),1
2,대구광역시,2011,남성,민준,민준(4.55%),1
2,대구광역시,2011,남성,민찬,민찬(4.55%),1
2,대구광역시,2011,남성,수현,수현(4.55%),1
2,대구광역시,2011,남성,승일,승일(4.55%),1
2,대구광역시,2011,남성,승찬,승찬(4.55%),1
2,대구광역시,2011,남성,영준,영준(4.55%),1
2,대구광역시,2011,남성,용진,용진(4.55%),1
2,대구광역시,2011,남성,용철,용철(4.55%),1
2,대구광역시,2011,남성,웅희,웅희(4.55%),1
2,대구광역시,2011,남성,재표,재표(4.55%),1
2,대구광역시,2011,남성,정범,정범(4.55%),1
2,대구광역시,2011,남성,지원,지원(4.55%),1
2,대구광역시,2011,남성,지호,지호(4.55%),1
2,대구광역시,2011,남성,효원,효원(4.55%),1
3,대구광역시,2011,남성,기타,기타(50.00%),22
1,인천광역시,2011,남성,기현,기현(5.00%),1
1,인천광역시,2011,남성,동건,동건(5.00%),1
1,인천광역시,2011,남성,동은,동은(5.00%),1
1,인천광역시,2011,남성,동현,동현(5.00%),1
1,인천광역시,2011,남성,민기,민기(5.00%),1
1,인천광역시,2011,남성,성민,성민(5.00%),1
1,인천광역시,2011,남성,성환,성환(5.00%),1
1,인천광역시,2011,남성,승무,승무(5.00%),1
1,인천광역시,2011,남성,시환,시환(5.00%),1
1,인천광역시,2011,남성,용현,용현(5.00%),1
1,인천광역시,2011,남성,우진,우진(5.00%),1
1,인천광역시,2011,남성,인성,인성(5.00%),1
1,인천광역시,2011,남성,인준,인준(5.00%),1
1,인천광역시,2011,남성,종서,종서(5.00%),1
1,인천광역시,2011,남성,주환,주환(5.00%),1
1,인천광역시,2011,남성,준서,준서(5.00%),1
1,인천광역시,2011,남성,진,진(5.00%),1
1,인천광역시,2011,남성,진수,진수(5.00%),1
1,인천광역시,2011,남성,하민,하민(5.00%),1
1,인천광역시,2011,남성,형섭,형섭(5.00%),1
2,인천광역시,2011,남성,기타,기타(35.48%),11
1,광주광역시,2011,남성,동현,동현(9.09%),2
1,광주광역시,2011,남성,정민,정민(9.09%),2
3,광주광역시,2011,남성,관우,관우(4.55%),1
3,광주광역시,2011,남성,기태,기태(4.55%),1
3,광주광역시,2011,남성,도우,도우(4.55%),1
3,광주광역시,2011,남성,도훈,도훈(4.55%),1
3,광주광역시,2011,남성,동주,동주(4.55%),1
3,광주광역시,2011,남성,병길,병길(4.55%),1
3,광주광역시,2011,남성,수현,수현(4.55%),1
3,광주광역시,2011,남성,시우,시우(4.55%),1
3,광주광역시,2011,남성,영찬,영찬(4.55%),1
3,광주광역시,2011,남성,용권,용권(4.55%),1
3,광주광역시,2011,남성,유승,유승(4.55%),1
3,광주광역시,2011,남성,정현,정현(4.55%),1
3,광주광역시,2011,남성,주원,주원(4.55%),1
3,광주광역시,2011,남성,준영,준영(4.55%),1
3,광주광역시,2011,남성,태건,태건(4.55%),1
3,광주광역시,2011,남성,태제,태제(4.55%),1
3,광주광역시,2011,남성,태홍,태홍(4.55%),1
