순위,지역,년도,성별,이름,비율,건수
1,서울특별시,2020,남성,도윤,도윤(7.60%),69
2,서울특별시,2020,남성,서준,서준(6.72%),61
2,서울특별시,2020,남성,정우,정우(6.72%),61
4,서울특별시,2020,남성,우진,우진(6.28%),57
4,서울특별시,2020,남성,진우,진우(6.28%),57
6,서울특별시,2020,남성,현우,현우(6.17%),56
7,서울특별시,2020,남성,주원,주원(6.06%),55
8,서울특별시,2020,남성,민준,민준(5.84%),53
9,서울특별시,2020,남성,지훈,지훈(5.29%),48
10,서울특별시,2020,남성,시우,시우(5.18%),47
11,서울특별시,2020,남성,승현,승현(4.96%),45
12,서울특별시,2020,남성,도현,도현(4.63%),42
13,서울특별시,2020,남성,건우,건우(4.30%),39
14,서울특별시,2020,남성,승우,승우(3.63%),33
14,서울특별시,2020,남성,재현,재현(3.63%),33
16,서울특별시,2020,남성,동현,동현(3.52%),32
17,서울특별시,2020,남성,서진,서진(3.30%),30
17,서울특별시,2020,남성,수호,수호(3.30%),30
17,서울특별시,2020,남성,지환,지환(3.30%),30
17,서울특별시,2020,남성,현준,현준(3.30%),30
18,서울특별시,2020,남성,기타,기타(87.22%),"6,197"
1,부산광역시,2020,남성,민준,민준(9.59%),35
2,부산광역시,2020,남성,서준,서준(6.30%),23
3,부산광역시,2020,남성,도현,도현(6.03%),22
4,부산광역시,2020,남성,현우,현우(5.75%),21
5,부산광역시,2020,남성,시우,시우(5.48%),20
5,부산광역시,2020,남성,정우,정우(5.48%),20
7,부산광역시,2020,남성,승현,승현(5.21%),19
8,부산광역시,2020,남성,건우,건우(4.93%),18
8,부산광역시,2020,남성,도윤,도윤(4.93%),18
8,부산광역시,2020,남성,준영,준영(4.93%),18
11,부산광역시,2020,남성,수현,수현(4.66%),17
11,부산광역시,2020,남성,준우,준우(4.66%),17
11,부산광역시,2020,남성,지훈,지훈(4.66%),17
14,부산광역시,2020,남성,우진,우진(4.38%),16
14,부산광역시,2020,남성,재원,재원(4.38%),16
16,부산광역시,2020,남성,지호,지호(4.11%),15
17,부산광역시,2020,남성,재윤,재윤(3.84%),14
18,부산광역시,2020,남성,강민,강민(3.56%),13
18,부산광역시,2020,남성,재현,재현(3.56%),13
18,부산광역시,2020,남성,정민,정민(3.56%),13
19,부산광역시,2020,남성,기타,기타(87.04%),"2,451"
1,대구광역시,2020,남성,도윤,도윤(10.13%),24
2,대구광역시,2020,남성,건우,건우(7.59%),18
2,대구광역시,2020,남성,주원,주원(7.59%),18
4,대구광역시,2020,남성,도현,도현(5.91%),14
5,대구광역시,2020,남성,민준,민준(5.49%),13
6,대구광역시,2020,남성,지훈,지훈(5.06%),12
7,대구광역시,2020,남성,서준,서준(4.64%),11
7,대구광역시,2020,남성,정우,정우(4.64%),11
7,대구광역시,2020,남성,현우,현우(4.64%),11
10,대구광역시,2020,남성,민규,민규(4.22%),10
10,대구광역시,2020,남성,민성,민성(4.22%),10
10,대구광역시,2020,남성,수호,수호(4.22%),10
10,대구광역시,2020,남성,승우,승우(4.22%),10
10,대구광역시,2020,남성,재원,재원(4.22%),10
10,대구광역시,2020,남성,태현,태현(4.22%),10
16,대구광역시,2020,남성,도경,도경(3.80%),9
16,대구광역시,2020,남성,민재,민재(3.80%),9
16,대구광역시,2020,남성,재민,재민(3.80%),9
16,대구광역시,2020,남성,재현,재현(3.80%),9
16,대구광역시,2020,남성,정민,정민(3.80%),9
17,대구광역시,2020,남성,기타,기타(85.54%),"1,402"
1,인천광역시,2020,남성,서준,서준(8.93%),20
2,인천광역시,2020,남성,민준,민준(7.59%),17
3,인천광역시,2020,남성,도윤,도윤(7.14%),16
4,인천광역시,2020,남성,정우,정우(6.70%),15
