Unnamed: 0,순위,지역,년도,성별,이름,비율,건수
0,1,서울특별시,2008,남성,민준,민준(7.75%),523
1,2,서울특별시,2008,남성,지훈,지훈(6.40%),432
2,3,서울특별시,2008,남성,현우,현우(6.01%),406
3,4,서울특별시,2008,남성,준서,준서(6.00%),405
4,5,서울특별시,2008,남성,예준,예준(5.66%),382
5,6,서울특별시,2008,남성,우진,우진(5.61%),379
6,7,서울특별시,2008,남성,서준,서준(5.54%),374
7,8,서울특별시,2008,남성,건우,건우(5.05%),341
8,8,서울특별시,2008,남성,현준,현준(5.05%),341
9,10,서울특별시,2008,남성,민재,민재(4.89%),330
10,11,서울특별시,2008,남성,준혁,준혁(4.86%),328
11,12,서울특별시,2008,남성,시우,시우(4.55%),307
12,13,서울특별시,2008,남성,도현,도현(4.47%),302
13,14,서울특별시,2008,남성,정우,정우(4.37%),295
14,15,서울특별시,2008,남성,준우,준우(4.28%),289
15,16,서울특별시,2008,남성,지호,지호(4.06%),274
16,17,서울특별시,2008,남성,서진,서진(4.01%),271
17,18,서울특별시,2008,남성,동현,동현(3.93%),265
18,19,서울특별시,2008,남성,진우,진우(3.82%),258
19,20,서울특별시,2008,남성,준영,준영(3.69%),249
20,21,서울특별시,2008,남성,기타,기타(86.18%),"42,103"
21,1,부산광역시,2008,남성,민준,민준(9.10%),199
22,2,부산광역시,2008,남성,준서,준서(6.13%),134
23,3,부산광역시,2008,남성,동현,동현(5.95%),130
24,4,부산광역시,2008,남성,예준,예준(5.81%),127
25,5,부산광역시,2008,남성,지훈,지훈(5.72%),125
26,6,부산광역시,2008,남성,우진,우진(5.44%),119
27,7,부산광역시,2008,남성,민재,민재(5.17%),113
28,7,부산광역시,2008,남성,현우,현우(5.17%),113
29,9,부산광역시,2008,남성,준혁,준혁(4.85%),106
30,10,부산광역시,2008,남성,서준,서준(4.71%),103
31,11,부산광역시,2008,남성,민성,민성(4.67%),102
32,12,부산광역시,2008,남성,건우,건우(4.53%),99
33,13,부산광역시,2008,남성,승현,승현(4.48%),98
34,13,부산광역시,2008,남성,준영,준영(4.48%),98
35,15,부산광역시,2008,남성,현준,현준(4.39%),96
36,16,부산광역시,2008,남성,도현,도현(4.16%),91
37,17,부산광역시,2008,남성,승민,승민(4.03%),88
38,18,부산광역시,2008,남성,민규,민규(3.80%),83
39,18,부산광역시,2008,남성,재민,재민(3.80%),83
40,20,부산광역시,2008,남성,재현,재현(3.61%),79
41,21,부산광역시,2008,남성,기타,기타(84.33%),"11,764"
42,1,대구광역시,2008,남성,지훈,지훈(8.86%),149
43,2,대구광역시,2008,남성,민준,민준(7.56%),127
44,3,대구광역시,2008,남성,동현,동현(6.01%),101
45,3,대구광역시,2008,남성,민재,민재(6.01%),101
46,5,대구광역시,2008,남성,승민,승민(5.53%),93
47,6,대구광역시,2008,남성,현우,현우(5.41%),91
48,7,대구광역시,2008,남성,민규,민규(5.23%),88
49,8,대구광역시,2008,남성,승현,승현(5.06%),85
50,8,대구광역시,2008,남성,준서,준서(5.06%),85
51,10,대구광역시,2008,남성,도현,도현(4.82%),81
52,11,대구광역시,2008,남성,건우,건우(4.70%),79
53,12,대구광역시,2008,남성,민성,민성(4.64%),78
54,13,대구광역시,2008,남성,우진,우진(4.52%),76
55,14,대구광역시,2008,남성,현준,현준(4.34%),73
56,15,대구광역시,2008,남성,준혁,준혁(4.10%),69
57,16,대구광역시,2008,남성,민서,민서(3.87%),65
58,17,대구광역시,2008,남성,민석,민석(3.63%),61
59,17,대구광역시,2008,남성,재민,재민(3.63%),61
60,19,대구광역시,2008,남성,성현,성현(3.51%),59
61,19,대구광역시,2008,남성,승우,승우(3.51%),59
62,20,대구광역시,2008,남성,기타,기타(84.47%),"9,143"
63,1,인천광역시,2008,남성,민준,민준(7.60%),139
64,2,인천광역시,2008,남성,지훈,지훈(6.94%),127
65,3,인천광역시,2008,남성,현우,현우(6.45%),118
66,4,인천광역시,2008,남성,예준,예준(6.18%),113
67,5,인천광역시,2008,남성,건우,건우(5.96%),109
68,6,인천광역시,2008,남성,서준,서준(5.63%),103
69,7,인천광역시,2008,남성,준혁,준혁(5.25%),96
70,8,인천광역시,2008,남성,우진,우진(5.14%),94
71,8,인천광역시,2008,남성,준서,준서(5.14%),94
72,10,인천광역시,2008,남성,현준,현준(4.59%),84
73,11,인천광역시,2008,남성,도현,도현(4.54%),83
74,11,인천광역시,2008,남성,민성,민성(4.54%),83
75,13,인천광역시,2008,남성,한결,한결(4.37%),80
76,14,인천광역시,2008,남성,시우,시우(4.32%),79
77,15,인천광역시,2008,남성,승민,승민(4.16%),76
78,16,인천광역시,2008,남성,동현,동현(3.99%),73
79,17,인천광역시,2008,남성,민재,민재(3.88%),71
80,18,인천광역시,2008,남성,서진,서진(3.83%),70
81,19,인천광역시,2008,남성,정우,정우(3.77%),69
82,20,인천광역시,2008,남성,현서,현서(3.72%),68
83,21,인천광역시,2008,남성,기타,기타(85.83%),"11,074"
84,1,광주광역시,2008,남성,민준,민준(8.26%),82
85,2,광주광역시,2008,남성,건우,건우(6.95%),69
86,3,광주광역시,2008,남성,지훈,지훈(6.24%),62
87,4,광주광역시,2008,남성,우진,우진(6.04%),60
88,5,광주광역시,2008,남성,정우,정우(5.84%),58
89,5,광주광역시,2008,남성,현우,현우(5.84%),58
90,7,광주광역시,2008,남성,도현,도현(5.54%),55
91,8,광주광역시,2008,남성,민성,민성(5.24%),52
92,9,광주광역시,2008,남성,승민,승민(5.14%),51
93,9,광주광역시,2008,남성,준서,준서(5.14%),51
94,11,광주광역시,2008,남성,준혁,준혁(4.93%),49
95,12,광주광역시,2008,남성,은찬,은찬(4.83%),48
96,13,광주광역시,2008,남성,승우,승우(4.63%),46
97,14,광주광역시,2008,남성,민재,민재(3.73%),37
98,14,광주광역시,2008,남성,예준,예준(3.73%),37
99,14,광주광역시,2008,남성,지원,지원(3.73%),37
100,17,광주광역시,2008,남성,성현,성현(3.63%),36
101,18,광주광역시,2008,남성,지후,지후(3.52%),35
102,18,광주광역시,2008,남성,진우,진우(3.52%),35
103,18,광주광역시,2008,남성,현민,현민(3.52%),35
104,19,광주광역시,2008,남성,기타,기타(85.99%),"6,094"
105,1,대전광역시,2008,남성,지훈,지훈(8.39%),80
106,2,대전광역시,2008,남성,민준,민준(7.55%),72
107,3,대전광역시,2008,남성,현우,현우(6.60%),63
108,4,대전광역시,2008,남성,건우,건우(6.08%),58
109,5,대전광역시,2008,남성,우진,우진(5.35%),51
110,6,대전광역시,2008,남성,예준,예준(5.24%),50
111,6,대전광역시,2008,남성,준서,준서(5.24%),50
112,8,대전광역시,2008,남성,서준,서준(5.14%),49
113,9,대전광역시,2008,남성,민성,민성(4.93%),47
114,10,대전광역시,2008,남성,승현,승현(4.82%),46
115,11,대전광역시,2008,남성,도현,도현(4.72%),45
116,12,대전광역시,2008,남성,은찬,은찬(4.61%),44
117,13,대전광역시,2008,남성,동현,동현(4.40%),42
118,14,대전광역시,2008,남성,서진,서진(4.09%),39
119,14,대전광역시,2008,남성,지호,지호(4.09%),39
120,16,대전광역시,2008,남성,승민,승민(3.88%),37
121,17,대전광역시,2008,남성,시우,시우(3.77%),36
122,17,대전광역시,2008,남성,재현,재현(3.77%),36
123,19,대전광역시,2008,남성,민재,민재(3.67%),35
124,19,대전광역시,2008,남성,성민,성민(3.67%),35
125,20,대전광역시,2008,남성,기타,기타(87.51%),"6,687"
126,1,울산광역시,2008,남성,민준,민준(8.05%),70
127,2,울산광역시,2008,남성,동현,동현(6.55%),57
128,3,울산광역시,2008,남성,지훈,지훈(6.32%),55
129,4,울산광역시,2008,남성,준영,준영(5.75%),50
130,5,울산광역시,2008,남성,민재,민재(5.40%),47
131,5,울산광역시,2008,남성,준혁,준혁(5.40%),47
132,7,울산광역시,2008,남성,준서,준서(5.17%),45
133,7,울산광역시,2008,남성,현서,현서(5.17%),45
134,7,울산광역시,2008,남성,현준,현준(5.17%),45
135,10,울산광역시,2008,남성,민규,민규(5.06%),44
136,11,울산광역시,2008,남성,우진,우진(4.83%),42
137,12,울산광역시,2008,남성,민성,민성(4.48%),39
138,12,울산광역시,2008,남성,성민,성민(4.48%),39
139,14,울산광역시,2008,남성,도현,도현(4.37%),38
