,순위,지역,년도,성별,이름,비율,건수
0,1,서울특별시,2013,남성,지우,지우(7.20%),801
1,2,서울특별시,2013,남성,서준,서준(6.59%),733
2,3,서울특별시,2013,남성,서윤,서윤(6.42%),714
3,4,서울특별시,2013,남성,서연,서연(6.03%),671
4,5,서울특별시,2013,남성,주원,주원(5.71%),635
5,6,서울특별시,2013,남성,연우,연우(5.29%),588
6,7,서울특별시,2013,남성,윤서,윤서(4.95%),551
7,8,서울특별시,2013,남성,서현,서현(4.85%),540
8,9,서울특별시,2013,남성,지후,지후(4.78%),532
9,10,서울특별시,2013,남성,예준,예준(4.67%),519
10,11,서울특별시,2013,남성,민준,민준(4.65%),517
11,12,서울특별시,2013,남성,시우,시우(4.55%),506
12,12,서울특별시,2013,남성,지원,지원(4.55%),506
13,14,서울특별시,2013,남성,하윤,하윤(4.42%),492
14,15,서울특별시,2013,남성,지아,지아(4.36%),485
15,16,서울특별시,2013,남성,도윤,도윤(4.30%),478
16,17,서울특별시,2013,남성,지호,지호(4.26%),474
17,18,서울특별시,2013,남성,서진,서진(4.25%),473
18,19,서울특별시,2013,남성,민서,민서(4.13%),460
19,20,서울특별시,2013,남성,지유,지유(4.04%),450
20,21,서울특별시,2013,남성,기타,기타(87.55%),"78,244"
21,1,부산광역시,2013,남성,지우,지우(7.03%),260
22,2,부산광역시,2013,남성,서준,서준(6.95%),257
23,3,부산광역시,2013,남성,서윤,서윤(6.11%),226
24,4,부산광역시,2013,남성,지후,지후(5.65%),209
25,5,부산광역시,2013,남성,민서,민서(5.49%),203
26,6,부산광역시,2013,남성,민준,민준(5.41%),200
27,7,부산광역시,2013,남성,서현,서현(5.30%),196
28,8,부산광역시,2013,남성,주원,주원(5.17%),191
29,9,부산광역시,2013,남성,예준,예준(5.11%),189
30,10,부산광역시,2013,남성,연우,연우(4.87%),180
31,11,부산광역시,2013,남성,도윤,도윤(4.73%),175
32,12,부산광역시,2013,남성,채원,채원(4.71%),174
33,13,부산광역시,2013,남성,서연,서연(4.68%),173
34,14,부산광역시,2013,남성,윤서,윤서(4.49%),166
35,15,부산광역시,2013,남성,지민,지민(4.22%),156
36,16,부산광역시,2013,남성,지원,지원(4.19%),155
37,17,부산광역시,2013,남성,하윤,하윤(4.00%),148
38,18,부산광역시,2013,남성,시우,시우(3.98%),147
39,19,부산광역시,2013,남성,준서,준서(3.95%),146
40,19,부산광역시,2013,남성,준우,준우(3.95%),146
41,20,부산광역시,2013,남성,기타,기타(86.53%),"23,740"
42,1,대구광역시,2013,남성,지우,지우(6.54%),169
43,2,대구광역시,2013,남성,민서,민서(6.27%),162
44,3,대구광역시,2013,남성,주원,주원(6.07%),157
45,4,대구광역시,2013,남성,서연,서연(5.96%),154
46,5,대구광역시,2013,남성,도윤,도윤(5.61%),145
47,5,대구광역시,2013,남성,서윤,서윤(5.61%),145
48,7,대구광역시,2013,남성,서현,서현(5.38%),139
49,8,대구광역시,2013,남성,윤서,윤서(5.30%),137
50,9,대구광역시,2013,남성,민준,민준(5.18%),134
51,10,대구광역시,2013,남성,도현,도현(4.91%),127
52,11,대구광역시,2013,남성,지민,지민(4.72%),122
53,12,대구광역시,2013,남성,채원,채원(4.60%),119
54,13,대구광역시,2013,남성,수현,수현(4.49%),116
55,14,대구광역시,2013,남성,예준,예준(4.45%),115
56,15,대구광역시,2013,남성,지훈,지훈(4.29%),111
57,16,대구광역시,2013,남성,소윤,소윤(4.26%),110
58,17,대구광역시,2013,남성,지원,지원(4.22%),109
59,18,대구광역시,2013,남성,채은,채은(4.14%),107
