,순위,지역,년도,성별,이름,비율,건수
0,1,서울특별시,2020,남성,서준,서준(7.05%),417
1,2,서울특별시,2020,남성,도윤,도윤(6.86%),406
2,3,서울특별시,2020,남성,이안,이안(6.39%),378
3,4,서울특별시,2020,남성,이준,이준(6.34%),375
4,5,서울특별시,2020,남성,지호,지호(6.23%),369
5,6,서울특별시,2020,남성,시우,시우(5.93%),351
6,7,서울특별시,2020,남성,은우,은우(5.88%),348
7,8,서울특별시,2020,남성,하준,하준(5.79%),343
8,9,서울특별시,2020,남성,주원,주원(4.61%),273
9,10,서울특별시,2020,남성,선우,선우(4.60%),272
10,11,서울특별시,2020,남성,수호,수호(4.58%),271
11,12,서울특별시,2020,남성,우진,우진(4.34%),257
12,13,서울특별시,2020,남성,유준,유준(4.31%),255
13,14,서울특별시,2020,남성,예준,예준(4.26%),252
14,15,서울특별시,2020,남성,서진,서진(4.22%),250
15,16,서울특별시,2020,남성,도현,도현(3.84%),227
16,17,서울특별시,2020,남성,민준,민준(3.82%),226
17,18,서울특별시,2020,남성,준우,준우(3.78%),224
18,19,서울특별시,2020,남성,우주,우주(3.63%),215
19,20,서울특별시,2020,남성,윤우,윤우(3.55%),210
20,21,서울특별시,2020,남성,기타,기타(80.47%),"24,395"
21,1,부산광역시,2020,남성,서준,서준(8.35%),161
22,2,부산광역시,2020,남성,도윤,도윤(7.98%),154
23,3,부산광역시,2020,남성,은우,은우(6.53%),126
24,4,부산광역시,2020,남성,하준,하준(6.17%),119
25,5,부산광역시,2020,남성,시우,시우(5.75%),111
26,6,부산광역시,2020,남성,이준,이준(5.39%),104
27,7,부산광역시,2020,남성,예준,예준(5.18%),100
28,8,부산광역시,2020,남성,지호,지호(5.08%),98
29,9,부산광역시,2020,남성,도현,도현(4.98%),96
30,10,부산광역시,2020,남성,건우,건우(4.77%),92
31,11,부산광역시,2020,남성,유준,유준(4.61%),89
32,12,부산광역시,2020,남성,연우,연우(4.35%),84
33,13,부산광역시,2020,남성,우진,우진(4.20%),81
34,14,부산광역시,2020,남성,민준,민준(3.99%),77
35,14,부산광역시,2020,남성,서진,서진(3.99%),77
36,14,부산광역시,2020,남성,시윤,시윤(3.99%),77
37,17,부산광역시,2020,남성,주원,주원(3.94%),76
38,18,부산광역시,2020,남성,선우,선우(3.78%),73
39,19,부산광역시,2020,남성,수호,수호(3.53%),68
40,20,부산광역시,2020,남성,윤우,윤우(3.42%),66
41,21,부산광역시,2020,남성,기타,기타(75.71%),"6,011"
42,1,대구광역시,2020,남성,도윤,도윤(11.03%),145
43,2,대구광역시,2020,남성,은우,은우(6.62%),87
44,3,대구광역시,2020,남성,서준,서준(6.46%),85
45,3,대구광역시,2020,남성,예준,예준(6.46%),85
46,5,대구광역시,2020,남성,하준,하준(5.93%),78
47,6,대구광역시,2020,남성,지호,지호(5.70%),75
48,7,대구광역시,2020,남성,시우,시우(5.63%),74
49,8,대구광역시,2020,남성,도현,도현(5.40%),71
50,9,대구광역시,2020,남성,유준,유준(4.71%),62
51,10,대구광역시,2020,남성,민준,민준(4.33%),57
52,10,대구광역시,2020,남성,시윤,시윤(4.33%),57
53,12,대구광역시,2020,남성,주원,주원(4.26%),56
54,13,대구광역시,2020,남성,연우,연우(4.18%),55
55,14,대구광역시,2020,남성,우진,우진(3.88%),51
56,15,대구광역시,2020,남성,건우,건우(3.80%),50
57,15,대구광역시,2020,남성,윤우,윤우(3.80%),50
58,17,대구광역시,2020,남성,선우,선우(3.65%),48
59,18,대구광역시,2020,남성,이준,이준(3.57%),47
60,19,대구광역시,2020,남성,서진,서진(3.19%),42
61,20,대구광역시,2020,남성,지완,지완(3.04%),40
62,21,대구광역시,2020,남성,기타,기타(77.64%),"4,567"
63,1,인천광역시,2020,남성,서준,서준(8.01%),150
64,2,인천광역시,2020,남성,하준,하준(7.74%),145
65,3,인천광역시,2020,남성,도윤,도윤(7.42%),139
66,4,인천광역시,2020,남성,은우,은우(7.37%),138
67,5,인천광역시,2020,남성,시우,시우(6.51%),122
68,6,인천광역시,2020,남성,이준,이준(5.82%),109
69,7,인천광역시,2020,남성,수호,수호(5.23%),98
70,8,인천광역시,2020,남성,지호,지호(5.13%),96
71,9,인천광역시,2020,남성,예준,예준(4.59%),86
72,10,인천광역시,2020,남성,로운,로운(4.16%),78
73,10,인천광역시,2020,남성,민준,민준(4.16%),78
74,12,인천광역시,2020,남성,건우,건우(4.06%),76
75,13,인천광역시,2020,남성,유준,유준(4.00%),75
76,14,인천광역시,2020,남성,서진,서진(3.95%),74
77,15,인천광역시,2020,남성,이안,이안(3.90%),73
78,16,인천광역시,2020,남성,연우,연우(3.68%),69
79,16,인천광역시,2020,남성,지후,지후(3.68%),69
80,18,인천광역시,2020,남성,시윤,시윤(3.63%),68
81,19,인천광역시,2020,남성,우진,우진(3.47%),65
82,19,인천광역시,2020,남성,윤우,윤우(3.47%),65
83,20,인천광역시,2020,남성,기타,기타(76.93%),"6,245"
84,1,광주광역시,2020,남성,도윤,도윤(7.14%),58
85,2,광주광역시,2020,남성,하준,하준(6.90%),56
86,3,광주광역시,2020,남성,은우,은우(6.65%),54
87,4,광주광역시,2020,남성,시우,시우(6.40%),52
88,5,광주광역시,2020,남성,연우,연우(5.91%),48
89,5,광주광역시,2020,남성,유준,유준(5.91%),48
90,7,광주광역시,2020,남성,선우,선우(5.05%),41
91,8,광주광역시,2020,남성,서준,서준(4.80%),39
92,9,광주광역시,2020,남성,도현,도현(4.68%),38
93,9,광주광역시,2020,남성,예준,예준(4.68%),38
94,9,광주광역시,2020,남성,주원,주원(4.68%),38
95,12,광주광역시,2020,남성,민준,민준(4.56%),37
96,12,광주광역시,2020,남성,지호,지호(4.56%),37
97,14,광주광역시,2020,남성,이준,이준(4.43%),36
98,15,광주광역시,2020,남성,건우,건우(4.19%),34
99,16,광주광역시,2020,남성,로운,로운(4.06%),33
100,16,광주광역시,2020,남성,수호,수호(4.06%),33
101,18,광주광역시,2020,남성,준우,준우(3.94%),32
102,19,광주광역시,2020,남성,우주,우주(3.82%),31
103,20,광주광역시,2020,남성,정우,정우(3.57%),29
104,21,광주광역시,2020,남성,기타,기타(78.15%),"2,905"
105,1,대전광역시,2020,남성,하준,하준(8.08%),71
106,2,대전광역시,2020,남성,서준,서준(7.96%),70
107,3,대전광역시,2020,남성,도윤,도윤(7.85%),69
108,4,대전광역시,2020,남성,시우,시우(6.37%),56
109,5,대전광역시,2020,남성,이준,이준(6.26%),55
110,6,대전광역시,2020,남성,지호,지호(6.03%),53
111,7,대전광역시,2020,남성,은우,은우(5.57%),49
112,8,대전광역시,2020,남성,예준,예준(4.89%),43
113,9,대전광역시,2020,남성,도하,도하(4.78%),42
114,10,대전광역시,2020,남성,연우,연우(4.21%),37
115,11,대전광역시,2020,남성,도현,도현(4.10%),36
116,11,대전광역시,2020,남성,수호,수호(4.10%),36
117,13,대전광역시,2020,남성,선우,선우(3.98%),35
118,14,대전광역시,2020,남성,민준,민준(3.87%),34
119,15,대전광역시,2020,남성,로운,로운(3.75%),33
120,15,대전광역시,2020,남성,주원,주원(3.75%),33
121,15,대전광역시,2020,남성,준우,준우(3.75%),33
122,18,대전광역시,2020,남성,건우,건우(3.64%),32
123,18,대전광역시,2020,남성,우진,우진(3.64%),32
124,20,대전광역시,2020,남성,우주,우주(3.41%),30
125,21,대전광역시,2020,남성,기타,기타(77.67%),"3,058"
126,1,울산광역시,2020,남성,서준,서준(8.39%),64
127,2,울산광역시,2020,남성,도윤,도윤(8.13%),62
128,3,울산광역시,2020,남성,도현,도현(7.34%),56
129,4,울산광역시,2020,남성,시우,시우(6.16%),47
130,4,울산광역시,2020,남성,유준,유준(6.16%),47
131,6,울산광역시,2020,남성,은우,은우(5.90%),45
132,7,울산광역시,2020,남성,하준,하준(5.77%),44
133,8,울산광역시,2020,남성,연우,연우(5.64%),43
134,9,울산광역시,2020,남성,건우,건우(4.98%),38
135,9,울산광역시,2020,남성,이준,이준(4.98%),38
136,11,울산광역시,2020,남성,주원,주원(4.33%),33
137,11,울산광역시,2020,남성,지후,지후(4.33%),33
138,13,울산광역시,2020,남성,민준,민준(3.93%),30
139,13,울산광역시,2020,남성,예준,예준(3.93%),30
140,15,울산광역시,2020,남성,지호,지호(3.80%),29
141,16,울산광역시,2020,남성,선우,선우(3.67%),28
142,17,울산광역시,2020,남성,수호,수호(3.28%),25
143,18,울산광역시,2020,남성,지안,지안(3.15%),24
144,18,울산광역시,2020,남성,지훈,지훈(3.15%),24
145,20,울산광역시,2020,남성,지한,지한(3.01%),23
146,21,울산광역시,2020,남성,기타,기타(77.08%),"2,566"
147,1,세종특별자치시,2020,남성,서준,서준(9.26%),35
148,2,세종특별자치시,2020,남성,하준,하준(7.94%),30
149,3,세종특별자치시,2020,남성,건우,건우(5.82%),22
150,3,세종특별자치시,2020,남성,도윤,도윤(5.82%),22
151,3,세종특별자치시,2020,남성,이준,이준(5.82%),22
152,6,세종특별자치시,2020,남성,예준,예준(5.56%),21
153,7,세종특별자치시,2020,남성,시우,시우(5.29%),20
154,7,세종특별자치시,2020,남성,윤우,윤우(5.29%),20
155,9,세종특별자치시,2020,남성,지호,지호(5.03%),19
156,10,세종특별자치시,2020,남성,도현,도현(4.76%),18
157,11,세종특별자치시,2020,남성,민준,민준(4.50%),17
158,11,세종특별자치시,2020,남성,은우,은우(4.50%),17
159,13,세종특별자치시,2020,남성,시윤,시윤(4.23%),16
160,14,세종특별자치시,2020,남성,우주,우주(3.97%),15
161,14,세종특별자치시,2020,남성,이안,이안(3.97%),15
162,16,세종특별자치시,2020,남성,수호,수호(3.70%),14
163,16,세종특별자치시,2020,남성,유준,유준(3.70%),14
164,16,세종특별자치시,2020,남성,준우,준우(3.70%),14
165,16,세종특별자치시,2020,남성,지후,지후(3.70%),14
166,20,세종특별자치시,2020,남성,서진,서진(3.44%),13
167,21,세종특별자치시,2020,남성,기타,기타(78.45%),"1,376"
168,1,경기도,2020,남성,서준,서준(8.25%),706
169,2,경기도,2020,남성,도윤,도윤(7.98%),683
170,3,경기도,2020,남성,이준,이준(6.76%),578
171,4,경기도,2020,남성,은우,은우(6.50%),556
172,5,경기도,2020,남성,시우,시우(6.49%),555
173,6,경기도,2020,남성,하준,하준(6.42%),549
174,7,경기도,2020,남성,지호,지호(5.52%),472
175,8,경기도,2020,남성,수호,수호(4.58%),392
176,9,경기도,2020,남성,예준,예준(4.42%),378
177,10,경기도,2020,남성,이안,이안(4.29%),367
178,11,경기도,2020,남성,연우,연우(4.12%),352
179,12,경기도,2020,남성,유준,유준(4.08%),349
180,13,경기도,2020,남성,건우,건우(4.03%),345
181,14,경기도,2020,남성,주원,주원(3.95%),338
182,15,경기도,2020,남성,준우,준우(3.87%),331
183,16,경기도,2020,남성,서진,서진(3.76%),322
184,16,경기도,2020,남성,선우,선우(3.76%),322
185,18,경기도,2020,남성,민준,민준(3.74%),320
186,18,경기도,2020,남성,시윤,시윤(3.74%),320
187,20,경기도,2020,남성,우진,우진(3.73%),319
188,21,경기도,2020,남성,기타,기타(78.26%),"30,800"
189,1,강원도,2020,남성,도윤,도윤(9.85%),79
190,2,강원도,2020,남성,하준,하준(8.98%),72
191,3,강원도,2020,남성,서준,서준(7.73%),62
192,4,강원도,2020,남성,은우,은우(6.36%),51
193,5,강원도,2020,남성,지호,지호(5.49%),44
194,6,강원도,2020,남성,시우,시우(5.24%),42
195,6,강원도,2020,남성,이준,이준(5.24%),42
196,8,강원도,2020,남성,예준,예준(4.86%),39
197,9,강원도,2020,남성,유준,유준(4.74%),38
198,10,강원도,2020,남성,선우,선우(4.36%),35
199,11,강원도,2020,남성,준우,준우(4.24%),34
200,12,강원도,2020,남성,시윤,시윤(4.11%),33
201,13,강원도,2020,남성,연우,연우(3.99%),32
202,14,강원도,2020,남성,민준,민준(3.74%),30
203,14,강원도,2020,남성,지후,지후(3.74%),30
204,16,강원도,2020,남성,건우,건우(3.62%),29
205,17,강원도,2020,남성,수호,수호(3.49%),28
206,17,강원도,2020,남성,우진,우진(3.49%),28
207,17,강원도,2020,남성,주원,주원(3.49%),28
208,20,강원도,2020,남성,서우,서우(3.24%),26
209,21,강원도,2020,남성,기타,기타(80.31%),"3,271"
210,1,충청북도,2020,남성,서준,서준(9.14%),91
211,2,충청북도,2020,남성,도윤,도윤(8.63%),86
212,3,충청북도,2020,남성,시우,시우(7.33%),73
213,4,충청북도,2020,남성,하준,하준(7.13%),71
214,5,충청북도,2020,남성,은우,은우(6.12%),61
215,6,충청북도,2020,남성,이준,이준(5.32%),53
216,7,충청북도,2020,남성,예준,예준(4.92%),49
217,8,충청북도,2020,남성,주원,주원(4.62%),46
218,9,충청북도,2020,남성,지호,지호(4.52%),45
219,10,충청북도,2020,남성,도현,도현(4.42%),44
220,11,충청북도,2020,남성,건우,건우(4.32%),43
221,12,충청북도,2020,남성,민준,민준(4.22%),42
222,12,충청북도,2020,남성,연우,연우(4.22%),42
223,14,충청북도,2020,남성,우진,우진(3.82%),38
224,14,충청북도,2020,남성,준우,준우(3.82%),38
225,16,충청북도,2020,남성,수호,수호(3.71%),37
226,17,충청북도,2020,남성,유준,유준(3.61%),36
227,18,충청북도,2020,남성,선우,선우(3.41%),34
228,18,충청북도,2020,남성,지후,지후(3.41%),34
229,20,충청북도,2020,남성,지훈,지훈(3.31%),33
230,21,충청북도,2020,남성,기타,기타(78.27%),"3,588"
231,1,충청남도,2020,남성,도윤,도윤(7.53%),110
232,2,충청남도,2020,남성,시우,시우(7.26%),106
233,3,충청남도,2020,남성,서준,서준(7.05%),103
234,3,충청남도,2020,남성,하준,하준(7.05%),103
235,5,충청남도,2020,남성,지호,지호(6.23%),91
236,6,충청남도,2020,남성,예준,예준(6.09%),89
237,7,충청남도,2020,남성,은우,은우(5.75%),84
238,8,충청남도,2020,남성,이준,이준(5.13%),75
239,9,충청남도,2020,남성,도현,도현(4.59%),67
240,10,충청남도,2020,남성,건우,건우(4.52%),66
241,10,충청남도,2020,남성,유준,유준(4.52%),66
242,12,충청남도,2020,남성,주원,주원(4.38%),64
243,13,충청남도,2020,남성,연우,연우(4.04%),59
244,14,충청남도,2020,남성,우진,우진(3.97%),58
245,15,충청남도,2020,남성,민준,민준(3.90%),57
246,16,충청남도,2020,남성,지안,지안(3.83%),56
247,17,충청남도,2020,남성,수호,수호(3.70%),54
